Loading GT:
Loading queries:
Loading index from sift1b_1m_ef_40_M_16.bin:
Actual memory usage: 454 Mb 
Parsing gt:
10000
Loaded gt
1	0.2308	8.1296 us	46.9724
2	0.362	11.2613 us	79.6959
3	0.4543	13.9899 us	108.444
4	0.5267	16.96 us	137.418
5	0.5838	19.5942 us	166.447
6	0.6291	22.055 us	192.405
7	0.6627	24.3313 us	217.117
8	0.6884	26.5338 us	239.702
9	0.7116	28.9809 us	260.348
10	0.7311	30.4243 us	279.828
11	0.7469	32.6606 us	298.045
12	0.764	33.8366 us	315.14
13	0.7769	35.483 us	331.163
14	0.7879	38.9316 us	346.663
15	0.7982	40.1636 us	361.967
16	0.8088	40.6016 us	376.438
17	0.8168	43.9455 us	390.728
18	0.825	44.3772 us	404.737
19	0.831	45.9628 us	418.13
20	0.8369	49.8665 us	431.404
21	0.8418	48.8528 us	444.84
22	0.8474	48.9965 us	458.038
23	0.8523	51.8712 us	470.924
24	0.8569	50.7942 us	483.787
25	0.8615	52.4311 us	496.776
26	0.8646	53.2217 us	509.654
27	0.8688	54.9074 us	522.192
28	0.8723	56.2046 us	534.818
29	0.8757	58.27 us	547.717
30	0.8789	59.9393 us	560.566
40	0.9013	74.9318 us	684.817
50	0.9159	83.5817 us	806.827
60	0.927	94.8158 us	927.554
70	0.9349	106.941 us	1046.87
80	0.9414	119.339 us	1164.69
90	0.945	130.637 us	1280.43
100	0.9484	142.835 us	1394.91
140	0.9571	186.652 us	1838.95
180	0.9605	230.067 us	2263.59
220	0.9618	271.68 us	2673.32
260	0.9631	313.145 us	3071.28
300	0.9639	355.911 us	3457.82
340	0.9645	394.44 us	3835.04
380	0.9648	433.932 us	4203.68
420	0.9653	472.655 us	4565.99
460	0.9658	509.709 us	4921.82
